,Unnamed: 0.1,Unnamed: 0,PC1,PC2,year,condition,odometer,mmr,sellingprice,income,using_time,make,model,body,transmission,state,color,interior,region,K
624,624,624,0.2969627748575346,-1.3045209767085333,2013,3.1,51793.0,10250,9300,59100,2,toyota,Corolla,sedan,automatic,fl,red,beige,southeast,4
625,625,625,-0.2587542613146925,-0.6084793725528668,2012,2.3,41591.0,9275,7700,65610,3,chevrolet,Cruze,sedan,automatic,mi,white,gray,midwest,1
626,626,626,-4.440708693177767,-0.7409456582865531,2002,1.9,179097.0,925,900,61490,13,nissan,Sentra,sedan,automatic,nc,silver,gray,southeast,9
627,627,627,-5.703047444147584,0.6870002231812711,1998,1.0,179478.0,1175,700,73100,17,subaru,Legacy,wagon,automatic,pa,black,black,northeast,0
628,628,628,-1.8621293615862835,-1.4672110002233274,2007,4.1,129032.0,3575,3500,55590,8,pontiac,G6,sedan,automatic,la,silver,black,southeast,8
629,629,629,0.9242618881947576,0.7960983437590672,2013,4.4,38881.0,10650,11000,77030,2,chrysler,200,sedan,automatic,ca,white,black,pacific,6
630,630,630,-3.50172411090291,-0.7402886942410041,2004,2.9,179763.0,2225,2600,61490,11,mercedes-benz,C-Class,sedan,automatic,nc,white,gray,southeast,9
631,631,631,1.0493610586392557,-0.3991354491395877,2012,2.3,64490.0,25500,24100,64520,2,toyota,Highlander,suv,automatic,oh,white,black,midwest,7
632,632,632,1.5103052485786526,-0.786957677065858,2013,4.2,46396.0,17950,20000,61450,2,kia,Sorento,suv,automatic,ga,gray,gray,southeast,1
633,633,633,1.4369472714792209,1.3567138617604428,2014,4.3,20942.0,13700,12300,82150,1,ford,Fusion,sedan,automatic,ma,blue,tan,northeast,3
634,634,634,-2.0321895568117205,-1.139489669487798,2007,2.6,120065.0,6400,5200,59100,7,nissan,Pathfinder,suv,automatic,fl,black,tan,southeast,5
635,635,635,-0.1930701007777143,-1.1459941161747524,2011,3.6,89152.0,11200,10500,59100,4,ford,Edge,suv,automatic,fl,burgundy,gray,southeast,5
636,636,636,-0.1060262367998704,0.5896249139079563,2013,1.0,15382.0,13750,8000,77030,2,honda,Civic,sedan,automatic,ca,white,beige,pacific,6
637,637,637,2.886469373103139,1.2530460646824522,2013,4.7,30615.0,32900,31000,77030,2,bmw,5 Series,sedan,automatic,ca,black,tan,pacific,6
638,638,638,1.683592930582591,-1.325114265595453,2013,3.6,46353.0,23500,23400,56120,2,toyota,Tacoma,cab,automatic,sc,silver,gray,southeast,1
639,639,639,-0.7574164966641668,-1.0645294346458174,2012,1.9,90534.0,9850,8000,61450,3,dodge,Grand Caravan,van,automatic,ga,gray,black,southeast,1
640,640,640,1.9715832543856155,1.4140831860063856,2010,4.2,57739.0,33000,35000,77030,5,cadillac,Escalade ESV,suv,automatic,ca,black,black,pacific,6
641,641,641,-2.2012381729351524,0.4677124746737565,2008,2.6,168703.0,7475,7500,73100,7,infiniti,M35,sedan,automatic,pa,gray,gray,northeast,0
642,642,642,0.4640766699936818,1.5439930787779397,2011,3.8,37472.0,12700,14000,82750,4,subaru,Impreza,hatchback,automatic,nj,blue,beige,northeast,7
643,643,643,1.4678234405728814,1.6586904391232848,2012,4.7,35643.0,18000,19000,82750,3,honda,CR-V,suv,automatic,nj,blue,beige,northeast,7
